show_id,title,director,genres,cast,production_country,release_year,rating,duration,imdb_score,content_type,date_added
e0c15d75-8b70-4236-a351-cdfd13a1e1db,El sendero de la anaconda,Alessandro Angulo,Documentaries,"Wade Davis, Martin von Hildebrand",Colombia,2019,TV-14,74 min,7.0,Movie,2019-11-15
e0c15d75-8b70-4236-a351-cdfd13a1e1db,El sendero de la anaconda,Alessandro Angulo,International Movies,"Wade Davis, Martin von Hildebrand",Colombia,2019,TV-14,74 min,7.0,Movie,2019-11-15
8d777d20-e1ab-4d3d-abec-ba4becf6adad,El señor de los Cielos,,Crime TV Shows,"Rafael Amaya, Ximena Herrera, Robinson Díaz, Raúl Méndez, Gabriel Porras, Carmen Villalobos, Mauricio Ochmann, Fernanda Castillo, Marlene Favela, Carmen Aub, Maritza Rodríguez","United States, Mexico, Colombia",2019,TV-MA,7 Seasons,6.9,TV Show,2020-04-30
8d777d20-e1ab-4d3d-abec-ba4becf6adad,El señor de los Cielos,,International TV Shows,"Rafael Amaya, Ximena Herrera, Robinson Díaz, Raúl Méndez, Gabriel Porras, Carmen Villalobos, Mauricio Ochmann, Fernanda Castillo, Marlene Favela, Carmen Aub, Maritza Rodríguez","United States, Mexico, Colombia",2019,TV-MA,7 Seasons,6.9,TV Show,2020-04-30
8d777d20-e1ab-4d3d-abec-ba4becf6adad,El señor de los Cielos,,Spanish-Language TV Shows,"Rafael Amaya, Ximena Herrera, Robinson Díaz, Raúl Méndez, Gabriel Porras, Carmen Villalobos, Mauricio Ochmann, Fernanda Castillo, Marlene Favela, Carmen Aub, Maritza Rodríguez","United States, Mexico, Colombia",2019,TV-MA,7 Seasons,6.9,TV Show,2020-04-30
2c038118-4710-41bd-91ae-33b985ce4441,El silencio es bienvenido,Gabriela García Rivas,Dramas,"Eileen Yáñez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco",Mexico,2017,TV-14,95 min,4.4,Movie,2020-03-20
2c038118-4710-41bd-91ae-33b985ce4441,El silencio es bienvenido,Gabriela García Rivas,Independent Movies,"Eileen Yáñez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco",Mexico,2017,TV-14,95 min,4.4,Movie,2020-03-20
2c038118-4710-41bd-91ae-33b985ce4441,El silencio es bienvenido,Gabriela García Rivas,International Movies,"Eileen Yáñez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco",Mexico,2017,TV-14,95 min,4.4,Movie,2020-03-20
78e71ac3-c95a-4437-8336-1ed771ea8930,El testigo,Kate Horne,Documentaries,Jesús Abad Colorado,"Colombia, Peru, United Kingdom",2018,TV-14,73 min,8.2,Movie,2019-06-28
78e71ac3-c95a-4437-8336-1ed771ea8930,El testigo,Kate Horne,International Movies,Jesús Abad Colorado,"Colombia, Peru, United Kingdom",2018,TV-14,73 min,8.2,Movie,2019-06-28
9c3a2b09-b28c-4b8e-a17e-0c50612b4099,El-Khawaga's Dilemma,Peter Mimi,Action & Adventure,"Hassan El Raddad, Mohamed Lotfy, Hana El Zahed, Hassan Hosny, Majed El Masry, Mohamed Ezz, Samia Trabelsi, Yasser Al Zankalouni, Ahmed El Sobky, Bayoumi Fouad",Egypt,2018,TV-14,94 min,4.7,Movie,2020-10-15
